48442.6285	76.284	635.03
2839.8094	4.472	635.02
4642.485	7.311	635
3442.7286	5.43	634.02
2536.04	4	634.01
178382.557	281.3605	634
1016.2975	1.6055	633.01
949.5	1.5	633
11686.5331	18.4855	632.2
314.4598	0.4975	632.08
948	1.5	632
1580.68	2.505	631.01
315.5	0.5	631
3150.5	5	630.1
181249.425	287.6975	630
314.54	0.5	629.08
5812.6441	9.2405	629.04
3402.261	5.409	629
314.025	0.5	628.05
942.015	1.5	628.01
320.3387	0.5105	627.5
1546.182	2.466	627
2746.9267	4.384	626.58
21304.032	34.032	626
312.685	0.5	625.37
1562.625	2.5	625.05
2460.3518	3.9365	625.01
97905.9375	156.6495	625
642.0072	1.032	622.1
3110	5	622
1194.2214	1.923	621.02
3100.1	5	620.02
2232.036	3.6	620.01
35175.39	56.7345	620
10832.5	17.5	619
4459.7978	7.213	618.3
8566.5569	13.8595	618.1
30900	50	618
554.2456	0.898	617.2
1542.5	2.5	617
2975.6298	4.829	616.2
393.3926	0.6385	616.12
275108.3719	446.6045	616
55662.42	90.508	615
1716.68	2.8	613.1
2818.8804	4.5985	613
388.4176	0.6355	611.2
317.7876	0.52	611.13
2503.267	4.097	611
847.6366	1.3895	610.03
