650	0.589	382.8499
651.43	0.4516	294.1857
651.44	1	651.44
651.99	143.61	93632.2839
652	10	6520
653	46.7295	30514.3635
653.4	5	3267
653.9	5.7955	3789.6774
654	115.459	75510.186
655	27.8085	18214.5674
655.99	0.9655	633.3583
656.15	2.41	1581.3215
657	36.731	24132.267
658	28.9006	19016.5948
658.2	10.1146	6657.4297
658.3	0.5	329.15
659	5.9905	3947.7395
659.98	2.5	1649.95
659.99	6.641	4382.9935
660	78.5685	51855.21
660.02	2.505	1653.35
660.99	0.5	330.495
661	35.289	23326.029
661.42	143.61	94986.5262
661.5	0.465	307.5975
663	1.4995	994.1685
663.5	10	6635
663.97	0.5	331.985
664	10.384	6894.976
664.99	1.4965	995.1575
665	60.0353	39923.4744
665.11	1.5	997.665
665.5	2.5	1663.75
667	6.2175	4147.0725
667.02	27.474	18325.7074
668	30.985	20697.98
669	11.659	7799.871
669.28	46.2945	30983.9829
669.9	0.5	334.95
670	31.375	21021.25
670.86	4.974	3336.8576
671	22.7495	15264.9145
672.05	12.4665	8378.1113
672.07	0.7915	531.9434
672.5	2.4985	1680.2412
673	22.2465	14971.8945
673.96	0.498	335.632
675	140.7365	94997.1375
675.05	25.528	17232.6763
677	30.155	20414.935
